x,y,z
-49.2595,8.10883,-29.9555
-46.0046,8.10882,-29.9555
-42.7496,8.10883,-29.9555
-39.4946,8.10882,-29.9555
-36.2397,8.10883,-29.9555
-32.9847,8.10882,-29.9555
-29.7297,8.10883,-29.9555
-28.7179,8.10883,-29.1615
-26.3989,8.10883,-26.9766
-23.8473,8.10883,-23.6963
-22.138,8.10883,-19.6162
-22.3456,8.10884,-15.032
-25.5448,8.10883,-10.2392
-29.0804,8.10884,-8.14678
-33.9532,8.10883,-6.89134
-39.4946,8.10883,-6.47286
-45.036,8.10883,-6.89134
-49.9089,8.10883,-8.14678
-52.5101,3.55302,-17.3525
-50.082,3.55303,-13.9246
-52.6676,3.55302,-20.6312
-51.3703,3.55303,-23.5493
-49.4338,3.55302,-25.8954
-47.6738,3.55302,-27.4581
-46.9058,3.55302,-28.026
-44.4354,3.55302,-28.026
-41.965,3.55302,-28.026
-39.4946,3.55302,-28.026
-37.0242,3.55302,-28.026
-34.5538,3.55302,-28.026
-32.0834,3.55302,-28.026
-31.3155,3.55302,-27.4581
-29.5554,3.55302,-25.8954
-27.6189,3.55302,-23.5493
-26.3216,3.55303,-20.6312
-26.4792,3.55303,-17.3525
-28.9072,3.55302,-13.9246
-31.5906,3.55302,-12.4281
-35.2889,3.55302,-11.5302
-39.4946,3.55302,-11.2309
-43.7004,3.55303,-11.5302
-47.3986,3.55303,-12.4281
-49.9029,1.03613,-18.6407
-47.9612,1.03613,-16.109
-50.0289,1.03613,-21.0622
-48.9915,1.03613,-23.2174
-47.4429,1.03612,-24.9501
-46.0354,1.03612,-26.1043
-45.4213,1.03612,-26.5237
-43.4457,1.03613,-26.5237
-41.4702,1.03613,-26.5237
-39.4946,1.03613,-26.5237
-37.5191,1.03613,-26.5237
-35.5435,1.03613,-26.5237
-33.568,1.03613,-26.5237
-32.9539,1.03613,-26.1043
-31.5464,1.03613,-24.9501
-29.9978,1.03613,-23.2174
-28.9603,1.03613,-21.0622
-29.0863,1.03613,-18.6407
-31.028,1.03613,-16.109
-33.1739,1.03613,-15.0037
-36.1313,1.03613,-14.3405
-39.4946,1.03613,-14.1195
-42.8579,1.03612,-14.3405
-45.8154,1.03613,-15.0037
-39.4946,-1.18217,-20.8123
-42.1769,149.456,4.79717
-41.6765,149.453,6.06539
-42.2094,149.459,3.58395
-41.942,149.461,2.504
-41.5429,149.463,1.63563
-41.1802,149.464,1.05717
-41.022,149.465,0.846947
-40.5129,149.465,0.846947
-40.0038,149.465,0.846947
-39.4947,149.465,0.846947
-38.9856,149.465,0.846947
-38.4765,149.465,0.846947
-37.9674,149.465,0.846947
-37.8091,149.464,1.05717
-37.4464,149.463,1.63563
-37.0473,149.461,2.50399
-36.78,149.459,3.58395
-36.8124,149.456,4.79717
-37.3128,149.453,6.06539
-37.8658,149.452,6.61899
-38.6279,149.452,6.95114
-39.4947,149.451,7.06185
-40.3614,149.452,6.95114
-41.1235,149.452,6.61899
-52.6123,163.948,-18.2426
-52.611,154.094,-18.7006
-53.5117,154.093,-18.5914
-53.4271,163.947,-18.1047
-52.2976,163.948,-18.2698
-46.9113,166.068,24.1243
-46.9106,159.215,24.6026
-46.0008,159.214,24.099
-46.0785,166.067,23.7198
-21.8195,-3.23822,-37.443
-22.1268,0.245663,-40.1703
-22.2266,-2.51806,-36.9047
-21.6007,-0.24908,-40.9535
-23.0775,0.245663,-40.1703
-22.9777,-2.51806,-36.9047
-23.6036,-0.24908,-40.9535
-23.3848,-3.23822,-37.443
-23.1289,-0.734672,-41.7384
-23.0096,-3.95021,-37.9848
-22.0754,-0.734672,-41.7384
-22.1947,-3.95021,-37.9848
-22.0571,3.62853,-42.2791
-21.4473,3.37916,-43.2189
-23.1472,3.62853,-42.2791
-23.757,3.37916,-43.2189
-23.2129,3.13576,-44.1591
-21.9914,3.13576,-44.1591
-22.0321,7.29986,-43.0076
-21.392,7.29986,-44.0013
-23.1722,7.29986,-43.0076
-23.8123,7.29986,-44.0013
-23.2432,7.29986,-44.9949
-21.9611,7.29986,-44.9949
-22.0413,19.0999,-42.9147
-21.4028,19.0999,-44.0249
-23.163,19.0999,-42.9147
-23.8015,19.0999,-44.0249
-23.2419,19.0999,-45.1352
-21.9624,19.0999,-45.1352
-22.0413,26.4567,-42.9146
-21.4028,26.4567,-44.0249
-23.163,26.4567,-42.9146
-23.8015,26.4567,-44.0249
-23.2419,26.4567,-45.1352
-21.9624,26.4567,-45.1352
-22.0413,33.8134,-42.9147
-21.4028,33.8134,-44.0249
-23.163,33.8134,-42.9147
-23.8015,33.8134,-44.0249
-23.2419,33.8134,-45.1352
-21.9624,33.8134,-45.1352
-22.0413,41.1702,-42.9147
-21.4028,41.1702,-44.0249
-23.163,41.1702,-42.9147
-23.8015,41.1702,-44.0249
-23.2419,41.1702,-45.1352
-21.9624,41.1702,-45.1352
-22.0413,48.527,-42.9147
-21.4028,48.527,-44.0249
-23.163,48.527,-42.9147
-23.8015,48.527,-44.0249
-23.2419,48.527,-45.1352
-21.9624,48.527,-45.1352
-22.0413,55.8837,-42.9147
-21.4028,55.8837,-44.0249
-23.163,55.8837,-42.9147
-23.8016,55.8837,-44.0249
-23.2419,55.8837,-45.1352
-21.9624,55.8837,-45.1352
-22.0413,63.2405,-42.9147
-21.4028,63.2405,-44.0249
-23.163,63.2405,-42.9147
-23.8015,63.2405,-44.0249
-23.2419,63.2405,-45.1352
-21.9624,63.2405,-45.1352
-22.6021,-3.23822,-37.443
-22.6021,63.2405,-44.0249
-56.6646,-2.51806,-36.9047
-56.7644,0.245658,-40.1703
-57.0717,-3.23822,-37.443
-57.2905,-0.249081,-40.9535
-55.9135,-2.51806,-36.9047
-55.8138,0.245658,-40.1703
-55.5064,-3.23822,-37.443
-55.2876,-0.249081,-40.9535
-55.8816,-3.95021,-37.9848
-55.7623,-0.734673,-41.7384
-56.6965,-3.95021,-37.9848
-56.8158,-0.734673,-41.7384
-56.8341,3.62852,-42.2791
-57.444,3.37916,-43.2189
-55.7441,3.62853,-42.2791
-55.1342,3.37915,-43.2189
-55.6784,3.13575,-44.1591
-56.8998,3.13576,-44.1591
-56.8592,7.29985,-43.0076
-57.4992,7.29985,-44.0013
-55.719,7.29985,-43.0076
-55.0789,7.29985,-44.0013
-55.6481,7.29985,-44.9949
-56.9301,7.29985,-44.9949
-56.8499,19.0999,-42.9147
-57.4885,19.0999,-44.0249
-55.7283,19.0999,-42.9147
-55.0897,19.0999,-44.0249
-55.6493,19.0999,-45.1352
-56.9288,19.0999,-45.1352
-56.8499,26.4567,-42.9146
-57.4885,26.4567,-44.0249
-55.7283,26.4567,-42.9146
-55.0897,26.4567,-44.0249
-55.6493,26.4567,-45.1352
-56.9288,26.4567,-45.1352
-56.8499,33.8134,-42.9147
-57.4885,33.8134,-44.0249
-55.7283,33.8134,-42.9147
-55.0897,33.8134,-44.0249
-55.6493,33.8134,-45.1352
-56.9288,33.8134,-45.1352
-56.8499,41.1702,-42.9147
-57.4885,41.1702,-44.0249
-55.7282,41.1702,-42.9147
-55.0897,41.1702,-44.0249
-55.6493,41.1702,-45.1352
-56.9288,41.1702,-45.1352
-56.8499,48.5269,-42.9147
-57.4885,48.5269,-44.0249
-55.7283,48.5269,-42.9147
-55.0897,48.5269,-44.0249
-55.6493,48.5269,-45.1352
-56.9288,48.5269,-45.1352
-56.8499,55.8837,-42.9147
-57.4885,55.8837,-44.0249
-55.7283,55.8837,-42.9147
-55.0897,55.8837,-44.0249
-55.6493,55.8837,-45.1352
-56.9288,55.8837,-45.1352
-56.8499,63.2405,-42.9147
-57.4885,63.2405,-44.0249
